Sample Number	User	Session ID	Timestamp	X Original	Y Original	X Scaled	Y Scaled	Scaled Image Width	Small Window	Medium Window	Large Window	Border	Leaf	Stem	Stipule	Asdf	Asdf	Asdf	Asdfa	Sdfas	Dfas	Dfasd	Fasd	Fasd	Fasd	Fasd	Fas	Dfas	Dfa	Sdf	Asdf	Asdf	Asd	Fas	Dfa	Sdf	Asdf	Asdf	Asdf	As	Dfa	Sdf	Asdf	Asdf	Asdf	Asd	Fas	Dfa	Sdf	Asdf	Asdf	Asd	Fa	Sdfa	Sdf	Asdf	Asd	Fa	Sdf	Asdf	asdf	Attribute Number	Species	Image File
11	David	Phase6	1663271641322	3162	4606	0.4515828677839851	0.5079098753595398	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
12	David	Phase6	1663271646271	5856	4634	0.8361266294227188	0.5110258868648131	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
13	David	Phase6	1663271651470	5282	3269	0.7541899441340782	0.3604985618408437	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
20	David	Phase6	1663271715872	746	2122	0.19448275862068964	0.3685057471264368	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
21	David	Phase6	1663271720457	3322	2885	0.8651724137931035	0.500919540229885	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
22	David	Phase6	1663271725456	1362	3557	0.35482758620689653	0.6177011494252873	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
23	David	Phase6	1663271736364	296	1501	0.07945375543140906	0.31671554252199413	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_004faa78-7bd5-4998-96b9-85721ce0f2bc.jpg
24	David	Phase6	1663271738599	291	1515	0.0782122905027933	0.3196480938416422	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_004faa78-7bd5-4998-96b9-85721ce0f2bc.jpg
25	David	Phase6	1663271739583	291	1516	0.0782122905027933	0.31989247311827956	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_004faa78-7bd5-4998-96b9-85721ce0f2bc.jpg
26	David	Phase6	1663271742576	290	1522	0.07790192427063936	0.32111436950146627	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_004faa78-7bd5-4998-96b9-85721ce0f2bc.jpg
27	David	Phase6	1663271744252	307	1491	0.08224705152079453	0.31451612903225806	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_004faa78-7bd5-4998-96b9-85721ce0f2bc.jpg
28	David	Phase6	1663271746121	312	1486	0.08379888268156424	0.3135386119257087	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_004faa78-7bd5-4998-96b9-85721ce0f2bc.jpg
29	David	Phase6	1663271747408	315	1485	0.08441961514587212	0.31329423264907136	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_004faa78-7bd5-4998-96b9-85721ce0f2bc.jpg
30	David	Phase6	1663271769025	4199	490	0.5974549968963376	0.053969776924922046	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_0230a8e9-9859-48a0-adb9-29f63a3de867.jpg
31	David	Phase6	1663271770777	4208	495	0.5986964618249534	0.05444950827536579	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_0230a8e9-9859-48a0-adb9-29f63a3de867.jpg
32	David	Phase6	1663271771859	4227	499	0.6014897579143389	0.05492923962580955	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_0230a8e9-9859-48a0-adb9-29f63a3de867.jpg
33	David	Phase6	1663271772884	4236	501	0.6027312228429547	0.055169105301031425	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_0230a8e9-9859-48a0-adb9-29f63a3de867.jpg
34	David	Phase6	1663271777705	4304	1398	0.6123525760397269	0.15375389781722235	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_0230a8e9-9859-48a0-adb9-29f63a3de867.jpg
35	David	Phase6	1663271779265	4326	1439	0.6154562383612663	0.158311345646438	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_0230a8e9-9859-48a0-adb9-29f63a3de867.jpg
36	David	Phase6	1663271784207	2545	2617	0.3621973929236499	0.2878388102662509	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_0230a8e9-9859-48a0-adb9-29f63a3de867.jpg
37	David	Phase6	1663271797274	3247	2089	0.46368715083798884	0.2303451581975072	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
38	David	Phase6	1663271798433	3297	2102	0.47082557417752946	0.23178331735378715	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
39	David	Phase6	1663271801784	4673	3551	0.6672873991309746	0.3916586768935762	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
40	David	Phase6	1663271809943	4769	1293	0.680943513345748	0.14261744966442952	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
41	David	Phase6	1663271811747	4804	1304	0.685909373060211	0.14381591562799617	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
